date,views
August 2015,28.3
September 2015,22.7
October 2015,18.5
November 2015,25.2
December 2015,40.7
January 2016,37
February 2016,35
March 2016,34.8
April 2016,35.5
May 2016,26.4
June 2016,26
July 2016,59.1
August 2016,38.6
November 2016,36.4
December 2016,41.2
January 2017,50.4
February 2017,43.9
