index,game,prize,players,tournaments
1,League of Legends,"$4,249,249.06",910 Players,385 Tournaments
2,StarCraft II,"$4,175,469.09",660 Players,646 Tournaments
3,Dota 2,"$2,058,193.31",177 Players,77 Tournaments
4,Counter-Strike,"$472,040.95",363 Players,41 Tournaments
5,Heroes of Newerth,"$341,962.28",307 Players,63 Tournaments
6,Counter-Strike: Global Offensive,"$222,538.77",306 Players,47 Tournaments
7,World of WarCraft,"$208,500.00",15 Players,2 Tournaments
8,Defense of the Ancients,"$205,438.37",113 Players,11 Tournaments
9,Counter-Strike: Source,"$179,155.76",204 Players,27 Tournaments
10,World of Tanks,"$123,502.27",67 Players,8 Tournaments
11,Super Street Fighter IV Arcade Edition,"$107,590.66",61 Players,39 Tournaments
12,Counter-Strike Online,"$106,108.00",33 Players,3 Tournaments
13,StarCraft: Brood War,"$105,626.29",33 Players,15 Tournaments
14,Mortal Kombat 9,"$101,300.00",24 Players,9 Tournaments
15,ShootMania Storm,"$100,000.00",21 Players,2 Tournaments
16,Call of Duty: Modern Warfare 3,"$89,279.84",136 Players,30 Tournaments
17,WarCraft III,"$81,561.64",32 Players,57 Tournaments
18,Quake Live,"$71,284.81",30 Players,56 Tournaments
19,Street Fighter X Tekken,"$66,015.64",51 Players,27 Tournaments
20,Halo: Reach,"$64,567.99",57 Players,10 Tournaments
21,Point Blank,"$64,500.00",49 Players,7 Tournaments
22,Soul Calibur V,"$57,500.90",22 Players,9 Tournaments
23,KartRider,"$53,139.00",17 Players,3 Tournaments
24,CrossFire,"$51,831.72",20 Players,3 Tournaments
25,FIFA 12,"$49,959.27",44 Players,49 Tournaments
26,Halo 4,"$40,000.00",16 Players,1 Tournament
27,Tekken Tag Tournament 2,"$37,620.00",45 Players,18 Tournaments
28,Super Smash Bros. Melee,"$30,778.50",87 Players,28 Tournaments
29,Call of Duty: Black Ops 2,"$24,804.35",28 Players,3 Tournaments
30,King of Fighters XIII,"$21,995.00",29 Players,8 Tournaments
31,Bloodline Champions,"$21,450.00",27 Players,6 Tournaments
32,Super Smash Bros. Brawl,"$18,424.46",57 Players,24 Tournaments
33,Battlefield 3,"$18,296.60",0 Players,6 Tournaments
34,BlazBlue: Continuum Shift II,"$16,999.58",0 Players,1 Tournament
35,FIFA 13,"$16,678.57",19 Players,17 Tournaments
36,Call of Duty 4: Modern Warfare,"$16,525.03",51 Players,8 Tournaments
37,Super Street Fighter II Turbo HD Remix,"$16,200.00",18 Players,3 Tournaments
38,Street Fighter III: 3rd Strike,"$15,780.72",18 Players,4 Tournaments
39,TrackMania Nations Forever,"$15,118.73",13 Players,6 Tournaments
40,Age of Empires II: The Age of Kings,"$14,700.00",23 Players,1 Tournament
41,Team Fortress 2,"$14,211.17",52 Players,5 Tournaments
42,TrackMania 2: Canyon,"$13,237.04",8 Players,26 Tournaments
43,Call of Duty: Infinite Warfare,"$8,000.00",4 Players,1 Tournament
44,Ultimate Marvel vs. Capcom 3,"$4,696.23",22 Players,6 Tournaments
45,Gears of War 3,"$4,555.81",0 Players,2 Tournaments
46,Tekken 6,"$4,541.78",7 Players,3 Tournaments
47,Call of Duty 2,"$1,014.32",10 Players,1 Tournament
48,Project M,$751.81,10 Players,4 Tournaments
49,NHL 12,$702.93,6 Players,2 Tournaments
50,Persona 4 Arena,$476.63,14 Players,3 Tournaments
51,Super Smash Bros.,$400.00,7 Players,2 Tournaments
52,Call of Duty: Black Ops,$240.00,0 Players,1 Tournament
53,Forza Motorsport 4,$132.37,2 Players,1 Tournament
54,Dead or Alive 5,$0.00,4 Players,1 Tournament
55,Super Street Fighter II Turbo,$0.00,4 Players,1 Tournament
