index,game,prize,players,tournaments
1,League of Legends,"$6,176,134.71",1149 Players,359 Tournaments
2,Dota 2,"$4,490,461.80",372 Players,108 Tournaments
3,StarCraft II,"$3,815,247.82",587 Players,480 Tournaments
4,Call of Duty: Black Ops 2,"$1,418,345.35",141 Players,45 Tournaments
5,Counter-Strike: Global Offensive,"$1,211,869.54",1000 Players,199 Tournaments
6,Turbo Racing League,"$1,000,000.00",16 Players,9 Tournaments
7,Heroes of Newerth,"$649,870.10",315 Players,96 Tournaments
8,FIFA 13,"$441,149.41",43 Players,44 Tournaments
9,Madden NFL 2013,"$400,000.00",8 Players,1 Tournament
10,Halo 4,"$371,798.76",55 Players,15 Tournaments
11,World of Tanks,"$329,000.00",48 Players,6 Tournaments
12,CrossFire,"$244,209.50",92 Players,3 Tournaments
13,World of WarCraft,"$189,000.00",12 Players,1 Tournament
14,Counter-Strike Online,"$142,193.60",28 Players,4 Tournaments
15,ShootMania Storm,"$129,658.37",69 Players,32 Tournaments
16,Super Street Fighter IV Arcade Edition,"$126,977.72",100 Players,96 Tournaments
17,StarCraft: Brood War,"$108,039.38",35 Players,16 Tournaments
18,NHL 13,"$70,000.00",1 Player,1 Tournament
19,Call of Duty: Ghosts,"$68,749.30",59 Players,14 Tournaments
20,WarCraft III,"$66,261.28",22 Players,60 Tournaments
21,Super Smash Bros. Melee,"$56,927.30",202 Players,112 Tournaments
22,Quake Live,"$50,733.15",45 Players,21 Tournaments
23,Point Blank,"$48,000.00",39 Players,3 Tournaments
24,Smite,"$43,472.38",25 Players,3 Tournaments
25,Ultimate Marvel vs. Capcom 3,"$37,763.67",75 Players,59 Tournaments
26,Age of Empires II: The Age of Kings,"$30,500.00",24 Players,2 Tournaments
27,FIFA 14,"$28,687.53",18 Players,18 Tournaments
28,Team Fortress 2,"$28,112.56",61 Players,7 Tournaments
29,KartRider,"$27,570.00",16 Players,1 Tournament
30,Injustice: Gods Among Us,"$18,906.89",71 Players,69 Tournaments
31,Super Smash Bros. Brawl,"$18,591.65",86 Players,51 Tournaments
32,Street Fighter X Tekken,"$15,425.00",56 Players,51 Tournaments
33,Battlefield 4,"$15,408.65",20 Players,3 Tournaments
34,Tekken Tag Tournament 2,"$11,875.86",50 Players,49 Tournaments
35,TrackMania 2: Stadium,"$10,659.42",12 Players,4 Tournaments
36,Counter-Strike,"$10,080.00",20 Players,1 Tournament
37,Project M,"$8,815.48",92 Players,44 Tournaments
38,Defense of the Ancients,"$5,955.02",0 Players,2 Tournaments
39,King of Fighters XIII,"$5,510.00",36 Players,11 Tournaments
40,Call of Duty 4: Modern Warfare,"$5,315.43",10 Players,4 Tournaments
41,Persona 4 Arena,"$5,040.00",21 Players,6 Tournaments
42,Mortal Kombat 9,"$2,640.00",16 Players,4 Tournaments
43,Street Fighter IV,"$2,440.00",16 Players,1 Tournament
44,Divekick,"$2,360.00",11 Players,3 Tournaments
45,Super Smash Bros.,"$2,061.00",16 Players,5 Tournaments
46,Hearthstone: Heroes of WarCraft,"$1,395.34",3 Players,3 Tournaments
47,TrackMania Nations Forever,"$1,116.91",3 Players,1 Tournament
48,Doom II: Hell on Earth,"$1,000.00",1 Player,1 Tournament
49,Soul Calibur V,$310.00,10 Players,2 Tournaments
50,Skullgirls,$300.00,3 Players,1 Tournament
51,Dragon Ball Z: Budokai 3,$204.06,3 Players,1 Tournament
52,Unreal Tournament 3,$165.00,4 Players,1 Tournament
53,BlazBlue: Continuum Shift Extend,$0.00,3 Players,1 Tournament
54,Dead or Alive 5 Ultimate,$0.00,11 Players,2 Tournaments
55,TrackMania 2: Canyon,$0.00,3 Players,1 Tournament
