index,game,prize,players,tournaments
1,Dota 2,"$31,018,392.86",978 Players,220 Tournaments
2,League of Legends,"$7,691,484.62",1872 Players,302 Tournaments
3,Counter-Strike: Global Offensive,"$6,276,933.33",2995 Players,703 Tournaments
4,Smite,"$3,709,088.73",252 Players,42 Tournaments
5,StarCraft II,"$2,818,704.49",490 Players,676 Tournaments
6,Call of Duty: Advanced Warfare,"$2,471,347.19",744 Players,361 Tournaments
7,Heroes of the Storm,"$2,458,500.05",665 Players,271 Tournaments
8,Hearthstone: Heroes of WarCraft,"$2,369,583.73",558 Players,250 Tournaments
9,World of Tanks,"$1,203,054.52",248 Players,20 Tournaments
10,Heroes of Newerth,"$810,839.41",261 Players,76 Tournaments
11,Ultra Street Fighter IV,"$565,441.83",136 Players,116 Tournaments
12,Super Smash Bros. Melee,"$511,204.67",540 Players,517 Tournaments
13,World of WarCraft,"$470,948.70",83 Players,20 Tournaments
14,Halo 2 Anniversary,"$378,667.45",81 Players,13 Tournaments
15,CrossFire,"$288,371.59",73 Players,19 Tournaments
16,Super Smash Bros. for Wii U,"$262,965.08",441 Players,252 Tournaments
17,Mortal Kombat X,"$232,922.43",65 Players,40 Tournaments
18,WarCraft III,"$218,662.98",45 Players,54 Tournaments
19,Vainglory,"$193,392.54",83 Players,4 Tournaments
20,Age of Empires II: The Age of Kings,"$178,400.00",85 Players,5 Tournaments
21,H1Z1,"$173,328.00",20 Players,2 Tournaments
22,StarCraft: Brood War,"$152,993.67",71 Players,48 Tournaments
23,Evolve,"$131,509.05",110 Players,33 Tournaments
24,FIFA 15,"$128,912.62",143 Players,295 Tournaments
25,Guild Wars 2,"$115,930.14",39 Players,34 Tournaments
26,Blade & Soul,"$103,401.12",16 Players,2 Tournaments
27,S.K.I.L.L. - Special Force 2,"$91,548.95",65 Players,16 Tournaments
28,Battlefield 4,"$83,382.97",93 Players,69 Tournaments
29,Killer Instinct (2013),"$83,227.57",43 Players,13 Tournaments
30,Tekken 7,"$75,914.27",9 Players,2 Tournaments
31,Call of Duty: Black Ops III,"$68,895.85",133 Players,23 Tournaments
32,Point Blank,"$58,097.75",102 Players,10 Tournaments
33,Project M,"$56,773.21",211 Players,68 Tournaments
