index,game,prize,players,tournaments
34,KartRider,"$54,188.00",12 Players,1 Tournament
35,Team Fortress 2,"$52,181.87",181 Players,14 Tournaments
36,Quake Live,"$49,051.01",51 Players,41 Tournaments
37,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament
38,Guilty Gear Xrd -SIGN-,"$30,335.66",69 Players,28 Tournaments
39,Halo 5: Guardians,"$28,490.94",35 Players,7 Tournaments
40,TrackMania 2: Stadium,"$21,890.00",18 Players,9 Tournaments
41,Ultimate Marvel vs. Capcom 3,"$21,643.72",72 Players,24 Tournaments
42,FIFA 16,"$21,638.34",16 Players,9 Tournaments
43,FIFA Online 3,"$20,124.00",8 Players,2 Tournaments
44,ShootMania Storm,"$17,028.67",9 Players,4 Tournaments
45,Persona 4 Arena Ultimax,"$16,528.16",41 Players,10 Tournaments
46,Rocket League,"$15,834.70",80 Players,62 Tournaments
47,Super Street Fighter IV Arcade Edition,"$13,712.98",8 Players,1 Tournament
48,Battlefield Hardline,"$13,463.28",20 Players,1 Tournament
49,Super Smash Bros.,"$11,823.21",55 Players,18 Tournaments
50,Super Smash Bros. Brawl,"$9,890.00",43 Players,7 Tournaments
51,Grey Goo,"$6,000.00",12 Players,3 Tournaments
52,Call of Duty: Black Ops 2,"$5,000.00",4 Players,1 Tournament
53,Skullgirls Encore,"$3,915.40",23 Players,6 Tournaments
54,Brawlhalla,"$3,710.00",48 Players,13 Tournaments
55,Dead or Alive 5: Last Round,"$3,709.24",28 Players,7 Tournaments
56,Overwatch,"$3,320.00",44 Players,10 Tournaments
57,NHL 15,"$3,157.16",3 Players,3 Tournaments
58,Call of Duty 4: Modern Warfare,"$2,703.33",0 Players,1 Tournament
59,NHL '94,"$2,691.20",16 Players,2 Tournaments
60,Tekken Tag Tournament 2,"$2,606.44",28 Players,10 Tournaments
61,Reflex,"$1,962.00",9 Players,3 Tournaments
62,Under Night In-Birth EXE: Late,"$1,695.76",25 Players,8 Tournaments
63,King of Fighters XIII,"$1,460.31",31 Players,8 Tournaments
64,Street Fighter III: 3rd Strike,"$1,224.86",10 Players,4 Tournaments
65,Divekick,"$1,110.00",5 Players,2 Tournaments
66,Shards of War,"$1,029.21",20 Players,1 Tournament
67,Rising Thunder,"$1,000.00",3 Players,1 Tournament
68,Tetris Ultimate,"$1,000.00",4 Players,1 Tournament
69,BlazBlue: Chronophantasma Extend,$944.21,15 Players,5 Tournaments
70,Soul Calibur V,$920.00,16 Players,4 Tournaments
71,Injustice: Gods Among Us,$870.00,8 Players,3 Tournaments
72,Splatoon,$770.00,3 Players,3 Tournaments
73,TrackMania 2: Canyon,$540.66,3 Players,1 Tournament
74,BlazBlue: Chronophantasma,$485.58,24 Players,5 Tournaments
75,Legend of Glory,$472.66,0 Players,1 Tournament
76,Nitroplus Blasterz: Heroines Infinite Duel,$464.00,3 Players,1 Tournament
77,Super Street Fighter II Turbo,$328.69,6 Players,2 Tournaments
78,Unreal Tournament (2016),$314.63,9 Players,2 Tournaments
79,Mortal Kombat 9,$190.00,3 Players,1 Tournament
80,Ultimate Mortal Kombat 3,$150.00,3 Players,1 Tournament
81,Virtua Fighter 5 Final Showdown,$145.23,3 Players,1 Tournament
82,Guilty Gear XX Accent Core Plus R,$120.00,10 Players,2 Tournaments
83,Capcom vs. SNK 2,$61.79,3 Players,1 Tournament
84,Dengeki Bunko: Fighting Climax,$60.00,3 Players,1 Tournament
85,QuakeWorld,$55.09,1 Player,1 Tournament
86,Marvel vs. Capcom 2,$0.00,11 Players,2 Tournaments
87,Melty Blood: Actress Again,$0.00,8 Players,1 Tournament
