index,game,prize,players,tournaments
1,StarCraft II,"$3,166,676.23",510 Players,772 Tournaments
2,Dota 2,"$1,662,268.08",87 Players,5 Tournaments
3,Call of Duty: Modern Warfare 3,"$1,003,515.34",37 Players,4 Tournaments
4,Counter-Strike,"$794,622.02",504 Players,58 Tournaments
5,Halo: Reach,"$593,521.98",86 Players,15 Tournaments
6,League of Legends,"$517,274.30",374 Players,166 Tournaments
7,StarCraft: Brood War,"$419,353.87",74 Players,13 Tournaments
8,Call of Duty: Black Ops,"$346,153.48",117 Players,20 Tournaments
9,Defense of the Ancients,"$244,082.84",237 Players,27 Tournaments
10,Counter-Strike: Source,"$205,207.01",223 Players,31 Tournaments
11,World of WarCraft,"$165,000.00",18 Players,3 Tournaments
12,WarCraft III,"$147,727.55",53 Players,63 Tournaments
13,Quake Live,"$125,267.32",39 Players,68 Tournaments
14,Heroes of Newerth,"$94,840.35",31 Players,11 Tournaments
15,FIFA 11,"$90,180.92",68 Players,62 Tournaments
16,Super Street Fighter IV Arcade Edition,"$56,552.09",41 Players,14 Tournaments
17,KartRider,"$54,123.00",11 Players,4 Tournaments
18,Special Force,"$44,650.00",0 Players,1 Tournament
19,Super Smash Bros. Melee,"$44,594.21",142 Players,52 Tournaments
20,Tekken 6,"$37,914.17",33 Players,12 Tournaments
21,Team Fortress 2,"$36,152.07",130 Players,13 Tournaments
22,CrossFire,"$34,000.00",15 Players,1 Tournament
23,Mortal Kombat 9,"$29,501.67",26 Players,8 Tournaments
24,Super Smash Bros. Brawl,"$28,153.32",107 Players,35 Tournaments
25,TrackMania Nations Forever,"$27,093.55",35 Players,12 Tournaments
26,Marvel vs. Capcom 3,"$22,144.33",38 Players,11 Tournaments
27,Bloodline Champions,"$20,000.00",16 Players,2 Tournaments
28,World of Tanks,"$18,503.12",7 Players,2 Tournaments
29,Marvel vs. Capcom 2,"$15,000.00",6 Players,3 Tournaments
30,Call of Duty 4: Modern Warfare,"$14,653.11",37 Players,9 Tournaments
31,BlazBlue: Continuum Shift II,"$7,591.43",14 Players,4 Tournaments
32,Gears of War,"$4,127.00",0 Players,3 Tournaments
33,TrackMania 2: Canyon,"$2,302.66",3 Players,1 Tournament
34,FIFA 12,"$1,761.00",12 Players,15 Tournaments
35,Super Street Fighter IV,"$1,706.80",22 Players,10 Tournaments
36,Arcana Heart 3,"$1,000.00",4 Players,1 Tournament
37,Super Street Fighter II Turbo,$820.00,11 Players,2 Tournaments
38,Super Smash Bros.,$330.00,3 Players,2 Tournaments
39,Soul Calibur IV,$260.00,3 Players,1 Tournament
40,Street Fighter III: 3rd Strike,$240.00,3 Players,1 Tournament
41,Project M,$225.00,4 Players,1 Tournament
42,Street Fighter IV,$90.00,2 Players,1 Tournament
43,Enemy Territory: Quake Wars,$86.37,6 Players,1 Tournament
44,Ultimate Marvel vs. Capcom 3,$45.00,2 Players,1 Tournament
45,Mortal Kombat vs. DC Universe,$0.00,3 Players,1 Tournament
46,Super Street Fighter II Turbo HD Remix,$0.00,3 Players,1 Tournament
47,Ultimate Mortal Kombat 3,$0.00,3 Players,1 Tournament
