index,game,prize,players,tournaments
1,Counter-Strike,"$1,248,144.09",645 Players,79 Tournaments
2,Halo 3,"$798,113.79",85 Players,9 Tournaments
3,StarCraft II,"$778,830.52",292 Players,236 Tournaments
4,StarCraft: Brood War,"$624,599.64",96 Players,14 Tournaments
5,WarCraft III,"$338,213.85",73 Players,81 Tournaments
6,World of WarCraft,"$291,250.00",63 Players,9 Tournaments
7,Counter-Strike: Source,"$267,855.06",395 Players,41 Tournaments
8,Quake Live,"$177,411.41",77 Players,77 Tournaments
9,Defense of the Ancients,"$158,306.30",116 Players,17 Tournaments
10,Halo: Reach,"$114,000.00",1 Player,3 Tournaments
11,FIFA 10,"$113,126.71",60 Players,47 Tournaments
12,Soul Calibur IV,"$100,000.00",1 Player,1 Tournament
13,Special Force,"$85,600.00",0 Players,2 Tournaments
14,Tekken 6,"$76,418.69",32 Players,13 Tournaments
15,Gears of War 2,"$75,000.00",0 Players,1 Tournament
16,Super Smash Bros. Brawl,"$74,699.16",74 Players,24 Tournaments
17,Call of Duty: Modern Warfare 2,"$55,798.80",29 Players,6 Tournaments
18,KartRider,"$51,240.00",12 Players,4 Tournaments
19,Heroes of Newerth,"$45,064.90",23 Players,8 Tournaments
20,Team Fortress 2,"$39,388.37",163 Players,15 Tournaments
21,Call of Duty 4: Modern Warfare,"$36,197.29",137 Players,12 Tournaments
22,TrackMania Nations Forever,"$35,772.86",48 Players,12 Tournaments
23,Super Smash Bros. Melee,"$31,742.98",149 Players,65 Tournaments
24,League of Legends,"$27,942.64",87 Players,23 Tournaments
25,Super Street Fighter IV,"$19,170.50",26 Players,6 Tournaments
26,Carom 3D,"$11,000.00",3 Players,1 Tournament
27,Forza Motorsport 3,"$11,000.00",3 Players,2 Tournaments
28,Guitar Hero 5,"$10,500.00",3 Players,1 Tournament
29,Need for Speed: Shift,"$10,500.00",3 Players,1 Tournament
30,Gears of War,"$10,193.30",0 Players,1 Tournament
31,Street Fighter IV,"$3,805.50",11 Players,5 Tournaments
32,FIFA 11,"$3,802.85",14 Players,16 Tournaments
33,Day of Defeat: Source,"$3,069.04",18 Players,3 Tournaments
34,FIFA 09,"$2,731.65",3 Players,2 Tournaments
35,"Warhammer 40,000: Dawn of War","$1,816.50",2 Players,1 Tournament
36,Pro Evolution Soccer 2009,$682.91,3 Players,1 Tournament
37,Tatsunoko vs. Capcom: Ultimate All-Stars,$300.81,6 Players,3 Tournaments
38,Super Smash Bros.,$180.00,8 Players,4 Tournaments
39,Super Street Fighter II Turbo HD Remix,$160.00,6 Players,2 Tournaments
40,Capcom vs. SNK,$140.00,3 Players,1 Tournament
41,Marvel vs. Capcom 2,$130.00,6 Players,2 Tournaments
42,Melty Blood: Actress Again,$0.00,3 Players,1 Tournament
