date,views
August 2015,44.6
September 2015,29.5
October 2015,38.5
November 2015,39.1
December 2015,36.9
January 2016,45
February 2016,41
March 2016,42.4
April 2016,42.7
May 2016,46.8
June 2016,56.6
July 2016,32.4
August 2016,51.6
November 2016,33.1
December 2016,44.9
January 2017,39.2
February 2017,32
