index,game,prize,players,tournaments
1,Dota 2,"$16,586,481.09",663 Players,143 Tournaments
2,League of Legends,"$8,052,833.00",1605 Players,426 Tournaments
3,StarCraft II,"$3,446,525.33",478 Players,585 Tournaments
4,Counter-Strike: Global Offensive,"$1,960,427.74",1385 Players,277 Tournaments
5,Call of Duty: Ghosts,"$1,503,892.24",136 Players,60 Tournaments
6,Hearthstone: Heroes of WarCraft,"$1,120,245.18",310 Players,175 Tournaments
7,World of Tanks,"$882,436.68",64 Players,7 Tournaments
8,CrossFire,"$489,611.85",112 Players,5 Tournaments
9,Heroes of Newerth,"$486,110.24",249 Players,87 Tournaments
10,Smite,"$462,909.60",76 Players,9 Tournaments
11,World of WarCraft,"$250,000.00",24 Players,1 Tournament
12,WarCraft III,"$187,891.80",17 Players,13 Tournaments
13,Super Smash Bros. Melee,"$161,970.27",344 Players,258 Tournaments
14,Ultra Street Fighter IV,"$156,631.79",94 Players,78 Tournaments
15,Battlefield 4,"$128,323.18",74 Players,67 Tournaments
16,Call of Duty: Advanced Warfare,"$126,947.81",127 Players,40 Tournaments
17,KartRider,"$106,712.00",33 Players,2 Tournaments
18,Halo 2 Anniversary,"$90,037.60",53 Players,7 Tournaments
19,Counter-Strike Online,"$78,688.00",15 Players,2 Tournaments
20,Point Blank,"$78,000.00",57 Players,4 Tournaments
21,Quake Live,"$64,563.87",80 Players,81 Tournaments
22,Guild Wars 2,"$60,075.36",60 Players,19 Tournaments
23,Team Fortress 2,"$58,030.72",80 Players,9 Tournaments
24,StarCraft: Brood War,"$54,495.17",35 Players,16 Tournaments
25,Project M,"$53,014.15",205 Players,105 Tournaments
26,FIFA 14,"$51,797.23",41 Players,48 Tournaments
27,Super Street Fighter IV Arcade Edition,"$37,732.20",66 Players,52 Tournaments
28,BlazBlue: Chronophantasma,"$36,535.00",50 Players,10 Tournaments
29,S.K.I.L.L. - Special Force 2,"$32,010.00",0 Players,2 Tournaments
30,Age of Empires II: The Age of Kings,"$28,000.00",51 Players,1 Tournament
31,Tekken Tag Tournament 2,"$27,583.40",73 Players,51 Tournaments
32,Killer Instinct (2013),"$22,399.80",43 Players,12 Tournaments
33,Halo 4,"$18,950.00",16 Players,3 Tournaments
34,Ultimate Marvel vs. Capcom 3,"$17,570.01",71 Players,32 Tournaments
35,Super Smash Bros. Brawl,"$16,629.31",80 Players,33 Tournaments
36,ShootMania Storm,"$15,000.00",9 Players,2 Tournaments
37,Injustice: Gods Among Us,"$14,900.00",56 Players,44 Tournaments
38,King of Fighters XIII,"$14,444.40",51 Players,12 Tournaments
39,FIFA 15,"$14,370.53",36 Players,54 Tournaments
40,Heroes of the Storm,"$14,257.50",47 Players,19 Tournaments
41,Halo 3,"$10,140.23",21 Players,4 Tournaments
42,TrackMania 2: Stadium,"$9,866.20",6 Players,3 Tournaments
43,Super Smash Bros. for Wii U,"$6,894.45",55 Players,15 Tournaments
44,Call of Duty 4: Modern Warfare,"$6,028.93",0 Players,3 Tournaments
45,Super Smash Bros.,"$3,073.00",28 Players,8 Tournaments
46,NHL 14,"$3,023.96",6 Players,3 Tournaments
47,Divekick,"$1,700.00",9 Players,3 Tournaments
48,Counter-Strike,"$1,500.00",5 Players,1 Tournament
49,Persona 4 Arena,$820.00,11 Players,2 Tournaments
50,Soul Calibur V,$635.00,32 Players,5 Tournaments
51,Capcom vs. SNK 2,$445.00,10 Players,2 Tournaments
52,Guilty Gear XX Accent Core Plus R,$440.00,41 Players,7 Tournaments
53,Under Night In-Birth EXE: Late,$320.00,16 Players,6 Tournaments
54,Xonotic,$315.73,8 Players,1 Tournament
55,Marvel vs. Capcom 2,$200.00,11 Players,2 Tournaments
56,Dead or Alive 5 Ultimate,$0.00,33 Players,5 Tournaments
57,Just Dance 2014,$0.00,3 Players,1 Tournament
58,Mortal Kombat 9,$0.00,21 Players,3 Tournaments
59,Persona 4 Arena Ultimax,$0.00,8 Players,1 Tournament
60,Skullgirls Encore,$0.00,10 Players,2 Tournaments
61,Soul Calibur II HD Online,$0.00,14 Players,2 Tournaments
62,Street Fighter Alpha 3,$0.00,8 Players,1 Tournament
63,Street Fighter III: 3rd Strike,$0.00,11 Players,2 Tournaments
64,Street Fighter X Tekken,$0.00,30 Players,5 Tournaments
65,Super Street Fighter II Turbo,$0.00,23 Players,4 Tournaments
66,Virtua Fighter 5 Final Showdown,$0.00,16 Players,2 Tournaments
