date,views
August 2015,68.6
September 2015,44.4
October 2015,59.6
November 2015,44.8
December 2015,43.9
January 2016,47.80
February 2016,44.6
March 2016,73.1
April 2016,70.8
May 2016,44.9
June 2016,36.2
July 2016,52.8
August 2016,25.5
November 2016,32.8
December 2016,30.5
January 2017,72.9
February 2017,40.5
